content,content_ing
"sejujurnya paling suka belanja tokopedia.. tampilan menu enak dilihat sangat ringan.. semua akan sia sia kita belanja barang kita beli lama datangnya.. berbeda aplikasi sebelah.. waktu 2 hari sampai.. melakukan percobaan satu toko sama tujuan rumah saya sama.. untuk tokopedia coba kalian hapus kerja sama dengan expedisi expedisi yang lelet, status perjalanan paket tidak update.","To be honest the most like shopping to Tokopedia .. The display of the menu is very easy to see ... all will be in vain we shop for the goods we buy for a long time.For Tokopedia, try to delete cooperation with slow expedition expeditions, the status of the package trip is not updated."
"membuat aplikasi,apapun nama aplikasinya,mau gojek,smule,whatsap,facebook,kalau buatlah aplikasi mb kecil,terus iklan,tanpa ngelag,lelet,lemot,jika membuat aplikasi kalau buatlah gunakan hp ram kecil ram besar,contoh misal ram 512 ram berikutnya,maaf tokopedia hapus gambar foto produk lemot terbuka,karena pembayaran bisa bayar tempat,tidak bisa bayar melalui si pengirim kurir.maaf tokopedia uninstal.","Make an application, whatever the name of the application, want to gojek, smule, whatsap, facebook, if you make a small MB application, then advertisement, without lagging, slow, slow, if you make an application if you make use a small ram ram, for example for example 512 RAM RAM next, sorry tokopedia delete images of slow -open product photos, because payments can pay places, cannot pay through the courier sender. Sorry tokopedia uninstal."
"pakai toped lama, baru akhir-akhir mengecewakan kurir rekomendasi sangat rekomended. sekelas toped merekomendasikan expedisi lemot, koorperatif, malah expedisinya tiba-tiba ganti (pada barang sama). hapus kurir rekomendasi yang tidak jelas itu!","Use a long time, only lately disappointing the courier recommendations are very recommended.Toped's class recommended slow, coordinating, coordinating expedition, instead the expedition suddenly replaced (on the same item).Delete the unclear recommendation courier!"
"buang aja kurir rekomendasi id express.. pengiriman super lelet, lemot, jujur. di tracking barang dinyatakan sampai, barangnya terima tidak.. jujur ""kapok"" pakai tokopedia lagi, mending pakai e commerce lain pengiriman lebih terpercaya...","Just throw away the courier recommendation ID Express .. SUPER SLOW, SLEET, HONEST DELIVERY.In tracking the item is declared until, the item is not received .. Honest ""Kapok"" using Tokopedia again, better to use another commerce for more reliable shipping ..."
"kurang suka sama fitur kurir rekomendasinya, otomatis gak milih ekspedisi. selalu ekspedisi lama, paket biasanya terkirim waktu 2 hari pake ekspedisi selalu atas 4 hari bahkan seminggu. sebenernya fitur bagus, cuma kurang pemilihan otomatisnya aja. semoga sistemnya improve biar lebih smart & detect mana ekspedisi cepat mana ekspedisi lelet berdasarkan pengalaman pengguna.","Do not like the recommendation courier features, automatically don't choose expeditions.Always old expedition, the package is usually sent 2 days using expeditions always over 4 days or even a week.Actually the features are good, only lack the automatic selection.Hopefully the system is improved to make it smarter & detect where the fast expedition is slow expedition based on user experience."
"paling males kalau belanja tokped tuh sama expedisi ga jelas, pengiriman lama, update terkini jelas paket sampai mana. beda sama shopee, kalau paket telat datang dapet kompensasi jika kendala cepat penanganannya","Most lazy if shopping shops with expeditions are not clear, long shipping, the latest updates are clear packets.different from shopee, if the package is late, get compensation if the obstacles are fast handling"
sistem e jelek banget ini.... beberapa kali transaksi batalkan otomatis pembayaran.... udah capek capek alfa/indomart.tiba tiba dibatalkan otomatis... saldo kembalikan tidak tarik ataupun di gunakan layanan... kampreet... baru kali tokopedia pelayanannya jelek banget sistem e di perbaiki lagi.....,"This E system is really bad ... several times the transaction canceled the automatic payment .... already tired of tired alpha/indomart.Tokopedia, the service is really bad, the E system is repaired again ..."
"promosinya tokopedia plus, berlangganan jadi hemat pengiriman diutamakan. eh ternyata diutamakan selambat lambatnya. estimasinya diperpanjang hingga komplain harus nunggu 7hari dulu. enakan toko sebelah. langganan plus plus aja. pengiriman terlambat kitanya dpt vocher.","Promotion Tokopedia Plus, subscribe to saving shipping take precedence.Eh it turns out to be prioritized no later.The estimation is extended until the complaint must wait 7 days first.good shop next door.Just subscribe to plus plus.Delivery is late we get a vocher."
"pengiriman tokopedia sangat lama sekali,, kurir rekomendasi sapx sangat sangat buruk sekali,, barang 3 hari kurir tdk dikirim kirim berbagai alasan kurir nya. dari tokopedia banyak mulai ditinggalkan,tidak shope mempunyai jasa pengiriman sendiri lebih cepat lebih baik. perbaiki lah jasa pengiriman tokopedia,kalau ditokopedia telat eh malah perpanjang waktunya seperti shope kalau telat malah voucher 10ribu ini harus menjadi perh","Tokopedia shipping is very long ,, courier SAPX recommendations are very very bad ,, items 3 days couriers are not sent to send various reasons for the courier.From Tokopedia a lot began to be abandoned, not Shope has its own shipping service better faster.Improve the Tokopedia shipping service, if you are late for the late eh, it even extend the time like a shope if it's late, instead this 10 thousand voucher must be permanent"
"biasanya selalu menggunakan tokped tiap belanja online, akhir-akhir kurir rekomendasi sangat lamban pihak tokped ada solusi mempercepat itu. bahkan pilih nextday kurir tetap lamban, paket sering stuck hub. harusnya program free ontidakir pembeli tetap memilih kurir digunakan aplikasi oren.","Usually always use tokped every online shopping, in the end of the recommendation courier is very slow to the tokped there is a solution to speed up that.Even select Nextday Courier remains slow, the package is often stuck hub.The Free Ontidakir Program Buyers should continue to choose the courier to use the Oren application."
"emang sih pake gratis ontidakir siap segala konsekwensinya. gak gini juga, barang gak cepet pickup, proses transit antar gudang lama banget, padahal udah dibelain langganan plus biar proses pengirimannya cepetan dikit, gak bedanya tetep lama. bebelum sekarang gak liat profil penjual tiap mau liat selalu not responding berakhir muncul notifikasi tutup/berhentikan aplikasi. tokped, segeralah berbenah!!!","It is really free to use all the consequences.Not like this either, the goods are not fast pickup, the process of transit between the old warehouses is really, even though the subscription has been built so that the delivery process is fast, it doesn't make a long time.Bebelum now doesn't see the seller's profile every time you want to see always not responding, notification of the lid/stop the application.tokped, immediately clean up !!!"
"tujuan diadakannya kurir rekomendasi buat apa? kecewa banget. . .kalau memperlancar pengiriman nyatanya sama sekali. sekarang chekout selalu diarahkan kurir tersebut, pembeli dibebaskan buat pilih kurir sendiri toko sebelah contohnya.","What is the purpose of holding a recommendation courier for?very disappointed...Now the checkout is always directed by the courier, the buyer is released to choose the courier of the shop next to for example."
"sepertinya akan balik ke ecommerce sebelah pengiriman lebih cepat, dibandintidakan tokped pengiriman beda 1-2 kota 2 minggu lebih karna tiba"" otomatis penambahan estimasi. dulu ecommerce sebelah bahkan nyebrang 3 pulau bisa sampe dalam 2-3 hari aja","It seems like going back to ecommerce next to shipping faster, priced at the tokped shipping different 1-2 cities for more than 2 weeks because it arrives ""automatically adding estimation. In the past the ecommerce next door and even crossed 3 islands could arrive in 2-3 days"
"sebebelum go-pay ku(tokped) nyambung go-jek ada saldo rp 74.000++. terhubung go-jek(update go-pay plus) saldo tiba-tiba malah jadi rp 0. respon lama, diberi kejelasan penanganan butuh waktu berapa lama. baru nyoba apk nya beberapa hari udah bikin kecewa. enakan toko oren, penanganannya sat set, jelas waktunya.","After all my go-pay (tokped) connected Go-Jek there is a balance of Rp. 74,000 ++.Connected Go-Jek (Go-Pay Plus Update) suddenly the balance is Rp.just tried the apk for a few days already disappointed.Easy Oren shop, handling sat set, clearly time."
sebenernya pelanggan setia tokopedia sejak lama. semakin kesini pengiriman rekomendasi tokopedia selalu mengalami keterlambatan. bahkan beberapa kali pickup gerai ekpedisi. tokopediacare slow respon... mohon maaf bintang 1 dulu,Actually Tokopedia's loyal customers for a long time.The more here the delivery of Tokopedia's recommendations is always experiencing delays.Even several times the expedition outlets pickup.Toxiacare slow response ... sorry 1 star first
aplikasi merugikan!!! dibikin rugi sama tokopedia. pembayaran via indomaret/ alfamaret selalu dibatalkan otomatis pembayaran. memenuhi syarat lah itu. teman teman mending lazada shopee sistem nya lebih baik profesional pembayaran nya selalu lancar tidak yang namanya pembayaran dibatalkan otomatis!,"Application HARGE !!!Made loss with Tokopedia.Payments via Indomaret/ Alfamaret are always canceled automatically payments.meet the requirements.Friends, Lazada Shopee, the system, the system, is better, the payment is always smooth, not, the name of the payment is canceled automatically!"
"tampilan aplikasi nya gak nyaman dilihat, pengiriman barang ribet lama, pesan diaplikasi oren dengann format alamat nomor telepon sama sampai melewati batas waktu, ditokopedia lebih 10 hari padahal cuma sidoarjo bekasi. keunggulan tokopedia dapat 100% gratis ontidakir, saya lebih pilih bayar lebih, hasil tepat waktu sangat telat.","The application display is uncomfortable to see, the delivery of items is long, the message is applied by the Oren with the format of the same telephone number to pass the time limit, Ditokopedia for more than 10 days even though only Sidoarjo Bekasi.The advantage of Tokopedia can get 100% free ontidakir, I prefer to pay more, the results are very late."
"sistem nya jelek banget woi. dibatalkan otomatis pembayaran selesai. kalau ga itu sejak awal dong, jangan pas udah bayar baru dibatalkan. udah repot2 alfa/indo eh dibatalkan. pake va di batalkan. gila ngeselin banget kan. mana duit masuk saldo ga ditarik lagi, ada minimal segalam macam lah. bad.","The system is really bad.Automatically canceled the payment is complete.If it's not from the beginning, don't just pay for you, just canceled.Already bothering alpha/indo eh canceled.use VA canceled.Crazy really annoying right.Where the money entered the balance was not withdrawn again, there was a minimum of a night.Bad."
"pengguna setia tokopedia, baru skrg merasa sangat kecewa tokopedia.. sistem kurir rekomendasi bener2 buat kecewa berat tokopedia.. sistem kurir lempar2, pick up sicepat, lalu di ambil jne, membuat paket terlambat datang.. padahal pengguna plus. jadi apa keuntungan nya menjadi plus? kita membayar pelayanan payah","Tokopedia loyal users, just now feel very disappointed Tokopedia ... Courier System Recommendations are really disappointed to Tokopedia ... the courier system is throwing, pick up sicepat, then taken jne, making the package late coming ... even though the plus user.So what is the advantage of being a plus?we pay poor service"
"kurir rekomendasi ngga rekomendasi, apa2an barang jakarta bekasi 1-2 minggu baru sampai, sesampah kurir rekomendasi. tokopedia buat hanya worth it klo pake kurir berbayar (jadi pilih mau pakai kurir apa) , klo kurir gratis (rekomendasi) ngga milih, klo dapatnya id expres sangat2 sampaah, ""rekomendasi"" sama sekali. toko oren klo pelanggan pakai voucher gratis ontidakir, tetap pilih kurir sendiri (jadi pilih biasanya cepat sampai).","Courier Recommendation Not Recommended, Anything Jakarta Bekasi 1-2 Week Goods Until, Arriving Recommendation Courier.Tokopedia for only worth it if you use a paid courier (so choose what courier you want to use), if the courier is free (recommendations) don't choose, if you get an Express ID, it is very until the ""recommendation"" at all.Oren shop if the customer uses free ontidakir vouchers, keep choosing your own courier (so select usually quickly arrive)."
"kurangi bintang nya....karena makin lama makin banyak tintidakah bagian development, barang ntidak di pesan lewat apkikasi hanya lewat browser baru bisa..trus kupon tersimpan tiba-tiba hilang. lalu koneksi aplikasi sering terputus...padahal internet lain2 ada kendala....itu tandanya kalian banyak tintidakah...terlalu banyak bug yang kalian sisipkan aplikasi..sehingga aplikasi sering mengalami kendala....","Reduce the stars .... because the longer the more tintidakan do the development part, the items will not be ordered through the apkication only through the new browser can ... the coupon is stored suddenly disappears.then the application connection is often cut off ... even though other internet there are obstacles ... that's a sign that you have a lot of tintida ... too many bugs that you insert the application ... so that the application often experiences obstacles ...."
"makin kesini makin ribet nih tokped,, koin ga dipakai transaksi,, yang paling ngeselin kurir rekomendasi lelet buang2 waktu.. aplikasi udah pakai jaminan tepat waktu, lah malah makin lelet kurir2nya,, haduuh,, klo gini terus bakal nyungsep nih tokped, sgera benahin wooy sebebelum ninggalin..!! udahlah pakai si biru / oren aja, lebih memuaskan.","the more here the more complicated, the coin is not used transactions, the most ngelin the courier recommendations are slow to waste time ... the application has used guarantees on time, even the more slow the courier ,, hahaBenahin Wooy just left ... !!Already use the blue / oren, more satisfying."
"sejujurnya suka belanja tokopedia, akhir-akhir cukup kecewa adanya sistem pengiriman melalui kurir rekomendasi. pengiriman lama update resi kurang akurat pastinya menbuat orang lebih memilih berganti marketapilace lain. solusi tidak ditawarkan tokopedia perihal masalah ini, chat layanan aduan berupa bot justru semakin membuat menilai tokopedia kurang canggih gagal memberikan pelayan baik penggunanya hal teknologi.","To be honest like shopping for Tokopedia, lately quite disappointed with a shipping system through a recommendation courier.The old delivery of the receipt update is inaccurate, of course, makes people prefer to change other marketaplaces.The solution is not offered by Tokopedia regarding this problem, chatting service in the form of bots actually makes it increasingly judging Tokopedia to fail to provide good servants of users of technology."
"kurir rekomendasi rekomendasi, kedua kalinya pake kurir rekomendasi, pertama paket hilang, sekarang kedua indikasi paket hilang 🤦‍♂️ tidak ada perubahan yang lebih baik untuk pengiriman kurir rekomendasi masa iya hilang terus pake kurir rekomendasi .","Recommendation Courier Recommendation, the second time using a recommendation courier, first the package is lost, now the second indication of the package is lost 🤦‍♂️ there is no better change for the delivery of the recommendation courier when it is lost and then using the recommendation courier."
"sya kekurangannya dri ekspedisi gak fleksibel pake gratis ontidakir, sdh diset sistem 1 bisa pake, ekspedisinya pya reputasi jelek, beda bisa menguntuntidakan semuanya, rasa bkn sya aja ngerasa demikian...","I lack the disadvantages of the inexijacent expedition using free ontidakir, already set system 1 can use, the expedition is a bad reputation, different can stunt everything, the taste of I just feel so ..."
"suka tokopedia banyak promonya. kurang suka sama fitur kurir rekomendasi, kemarin 19 hari sendiri paketan tidak pick up batal otomatis pesanan kali, pun udah komplain tokopedia care. padahal kan secepatnya butuh barang tersebut.","Like Tokopedia many promotions.Do not like the recommendation courier feature, yesterday 19 days alone the package did not pick up automatically the order time, also complained Tokopedia Care.Even though it needs the item as soon as possible."
"udah lama pake topet, sekarang tambah ribet, gak cod. layanan gratis ontidakir. juga kurir rekomendasinya lelet. alias lama pengirimanya, sejarang udah beralih toko oranye, lebih gampang cepat sampai.","It's been a long time using the topt, now it's more complicated, not cod.Ontidacir free service.Also the recommendation courier is slow.Alias for a long time, a Malaci has switched orange shops, it's easier to arrive."
"cuma sicepat & antaraja rekomen jadi kurir rekomendasi 👍 sapx, id expres, lion parcel sampah pengirimannya!!! padahal dari dulu pakai applikasi tokopedia ini, sebebelum kurir rekomendasi (sapx, id expres, lion parcel) pengiriman sangat2 menyenantidakan karna selalu tepat waktu, bahkan applikasi orangepun terabaikan. bila tokopedia jadi buruk ini pengirimannya, lebih baik beralih keapplikasi shopee!","Only Sicepat & Between Recommendations Become Recommendations Courier 👍 SAPX, ID Express, Lion Parcel Garbage Shipping !!!Whereas from the first time using this Tokopedia application, before a recommendation courier (Sapx, ID Expres, Lion Parcel) shipping is very happy because it is always on time, even the applications of people are ignored.If Tokopedia becomes bad, it is delivered, it's better to switch to Shopee's application!"
